"Time","California - All Types - All Makes - All Models - All Vehicle Years - #","California - Automobiles - All Makes - All Models - All Vehicle Years - #","California - Light Trucks - All Makes - All Models - All Vehicle Years - #","California - Medium/Heavy Trucks - All Makes - All Models - All Vehicle Years - #","California - Motorcycles - All Makes - All Models - All Vehicle Years - #","California - All Terrain Vehicles - All Makes - All Models - All Vehicle Years - #","California - Motor Home - All Makes - All Models - All Vehicle Years - #","California - Buses - All Makes - All Models - All Vehicle Years - #","California - Other Vehicle - All Makes - All Models - All Vehicle Years - #","California - Unknown - All Makes - All Models - All Vehicle Years - #","Florida - All Types - All Makes - All Models - All Vehicle Years - #","Florida - Automobiles - All Makes - All Models - All Vehicle Years - #","Florida - Light Trucks - All Makes - All Models - All Vehicle Years - #","Florida - Medium/Heavy Trucks - All Makes - All Models - All Vehicle Years - #","Florida - Motorcycles - All Makes - All Models - All Vehicle Years - #","Florida - All Terrain Vehicles - All Makes - All Models - All Vehicle Years - #","Florida - Motor Home - All Makes - All Models - All Vehicle Years - #","Florida - Buses - All Makes - All Models - All Vehicle Years - #","Florida - Other Vehicle - All Makes - All Models - All Vehicle Years - #","Florida - Unknown - All Makes - All Models - All Vehicle Years - #","Georgia - All Types - All Makes - All Models - All Vehicle Years - #","Georgia - Automobiles - All Makes - All Models - All Vehicle Years - #","Georgia - Light Trucks - All Makes - All Models - All Vehicle Years - #","Georgia - Medium/Heavy Trucks - All Makes - All Models - All Vehicle Years - #","Georgia - Motorcycles - All Makes - All Models - All Vehicle Years - #","Georgia - All Terrain Vehicles - All Makes - All Models - All Vehicle Years - #","Georgia - Motor Home - All Makes - All Models - All Vehicle Years - #","Georgia - Buses - All Makes - All Models - All Vehicle Years - #","Georgia - Other Vehicle - All Makes - All Models - All Vehicle Years - #","Georgia - Unknown - All Makes - All Models - All Vehicle Years - #","New York - All Types - All Makes - All Models - All Vehicle Years - #","New York - Automobiles - All Makes - All Models - All Vehicle Years - #","New York - Light Trucks - All Makes - All Models - All Vehicle Years - #","New York - Medium/Heavy Trucks - All Makes - All Models - All Vehicle Years - #","New York - Motorcycles - All Makes - All Models - All Vehicle Years - #","New York - All Terrain Vehicles - All Makes - All Models - All Vehicle Years - #","New York - Motor Home - All Makes - All Models - All Vehicle Years - #","New York - Buses - All Makes - All Models - All Vehicle Years - #","New York - Other Vehicle - All Makes - All Models - All Vehicle Years - #","New York - Unknown - All Makes - All Models - All Vehicle Years - #","Texas - All Types - All Makes - All Models - All Vehicle Years - #","Texas - Automobiles - All Makes - All Models - All Vehicle Years - #","Texas - Light Trucks - All Makes - All Models - All Vehicle Years - #","Texas - Medium/Heavy Trucks - All Makes - All Models - All Vehicle Years - #","Texas - Motorcycles - All Makes - All Models - All Vehicle Years - #","Texas - All Terrain Vehicles - All Makes - All Models - All Vehicle Years - #","Texas - Motor Home - All Makes - All Models - All Vehicle Years - #","Texas - Buses - All Makes - All Models - All Vehicle Years - #","Texas - Other Vehicle - All Makes - All Models - All Vehicle Years - #","Texas - Unknown - All Makes - All Models - All Vehicle Years - #"
"1988",14672,14506,"","","","","","","",166,8512,8424,"","","","","","","",88,4436,4416,"","","","","","","",20,5910,5828,"","","","","","","",82,8696,8690,"","","","","","","",6
"1989",14548,14346,"","","","","","","",202,8216,8132,"","","","","","","",84,4280,4278,"","","","","","","",2,5996,5864,"","","","","","","",132,8672,8664,"","","","","","","",8
"1990",13798,13636,"","","","","","","",162,7928,7820,"","","","","","","",108,4252,4240,"","","","","","","",12,5916,5812,"","","","","","","",104,8416,8410,"","","","","","","",6
"1991",12668,6992,3540,738,688,14,"",96,34,566,6772,4230,1414,300,80,4,"",20,22,702,3702,2136,1048,304,100,2,"",12,4,96,5326,3466,1032,338,164,"","",38,20,268,7948,4066,2768,606,148,12,"",28,20,300
"1992",11278,6312,3346,672,624,16,"",72,20,216,6800,4210,1532,424,200,4,"",22,24,384,3612,2086,1020,310,106,6,"",20,8,56,4816,3078,1018,266,144,4,"",38,36,232,7966,3932,2884,598,236,10,"",36,26,244
"1993",10946,6054,3294,672,654,16,20,52,28,156,7528,4568,1736,510,396,10,8,24,10,266,3812,2218,1094,292,100,8,4,14,12,70,4760,3050,992,274,246,8,2,54,24,110,8128,4010,2904,662,296,6,4,26,28,192
"1994",11454,6380,3522,686,598,10,38,72,42,106,7572,4444,1924,508,358,10,10,36,22,260,4046,2198,1270,364,110,14,2,14,8,66,4612,2884,1010,374,180,4,10,38,30,82,8258,3918,3228,652,242,10,4,26,18,160
"1995",11016,6130,3424,704,530,16,16,50,34,112,8006,4760,2034,502,384,18,6,30,20,252,4216,2282,1382,362,86,18,2,24,6,54,4566,2792,1090,284,194,22,2,52,36,94,8542,4108,3314,650,252,8,"",22,22,166
"1996",10802,5884,3494,716,486,12,26,60,24,100,7914,4598,2154,524,334,18,12,52,22,200,4300,2318,1376,398,92,10,2,20,16,68,4300,2556,998,258,204,10,2,70,24,178,9812,4576,3974,794,228,8,4,38,34,156
"1997",9818,5166,3182,714,504,20,20,70,44,98,7944,4424,2282,544,400,10,12,46,26,200,4356,2272,1446,400,118,6,"",16,18,80,4462,2644,1128,234,232,8,"",48,22,146,9476,4466,3760,798,234,14,4,46,20,134
"1998",9524,4888,3302,716,426,6,14,58,16,98,8228,4456,2534,606,378,12,8,46,20,168,4380,2192,1540,378,134,26,"",26,14,70,4126,2410,1104,246,228,12,"",42,26,58,9816,4428,4038,830,306,10,10,38,22,134
"1999",9252,4724,3156,614,500,10,12,64,22,150,8456,4400,2802,628,364,16,6,54,18,168,4184,2062,1494,426,112,24,4,16,6,40,4296,2394,1186,290,234,28,2,58,26,78,9638,4128,4162,750,364,16,6,34,30,148
"2000",5123,2556,1769,343,287,13,9,33,18,95,4276,2111,1471,296,272,16,5,33,9,63,2158,1046,800,201,62,12,2,11,3,21,2020,1123,568,138,126,8,"",19,9,29,5097,2158,2137,431,233,9,4,20,13,92
"2001",5337,2646,1894,355,301,10,8,29,8,86,4324,2168,1439,324,292,18,7,19,11,46,2371,1072,913,225,101,11,2,8,9,30,2109,1139,590,117,148,14,"",29,9,63,5184,2124,2254,445,241,6,4,13,12,85
